Time,Total no of crimes,Total no of arrests
1/31/2001,38093,12235
2/28/2001,33779,10965
3/31/2001,40553,12489
4/30/2001,40079,11868
5/31/2001,41821,12057
6/30/2001,41722,11922
7/31/2001,44690,11907
8/31/2001,44032,12213
9/30/2001,41501,11395
10/31/2001,43026,11923
11/30/2001,39596,11766
12/31/2001,36846,11159
1/31/2002,38400,12210
2/28/2002,33909,11309
3/31/2002,38583,12126
4/30/2002,40035,12188
5/31/2002,42913,12717
6/30/2002,42834,11942
7/31/2002,46013,12082
8/31/2002,44210,11849
9/30/2002,42385,11248
10/31/2002,43144,11967
11/30/2002,37151,10805
12/31/2002,37171,11100
1/31/2003,36706,11852
2/28/2003,32508,10702
3/31/2003,38650,11557
4/30/2003,39789,11528
5/31/2003,41189,12047
6/30/2003,40812,11377
7/31/2003,43414,11646
8/31/2003,44264,12627
9/30/2003,41422,12322
10/31/2003,43327,13491
11/30/2003,38055,11818
12/31/2003,35790,10601
1/31/2004,35101,11682
2/29/2004,34065,11683
3/31/2004,39854,12625
4/30/2004,38267,12121
5/31/2004,40779,12430
6/30/2004,41133,11702
7/31/2004,43235,12456
8/31/2004,43044,12828
9/30/2004,41211,12710
10/31/2004,41522,12542
11/30/2004,36838,11445
12/31/2004,34320,10457
1/31/2005,33849,11375
2/28/2005,31985,11214
3/31/2005,36904,12296
4/30/2005,38870,12326
5/31/2005,40465,12401
6/30/2005,40050,11839
7/31/2005,41804,12122
8/31/2005,41541,12379
9/30/2005,39622,11945
10/31/2005,39959,11846
11/30/2005,35976,10892
12/31/2005,32666,10257
1/31/2006,36746,11474
2/28/2006,31295,10080
3/31/2006,36976,11420
4/30/2006,36473,11063
5/31/2006,39612,11838
6/30/2006,38809,11536
7/31/2006,41541,11928
8/31/2006,40492,12023
9/30/2006,37769,11339
10/31/2006,38658,11479
11/30/2006,35565,11008
12/31/2006,34137,10189
1/31/2007,34083,11104
2/28/2007,27136,9428
3/31/2007,36347,11628
4/30/2007,35629,11106
5/31/2007,40084,11825
6/30/2007,38990,11483
7/31/2007,40986,12005
8/31/2007,39844,11666
9/30/2007,38260,11498
10/31/2007,39588,11073
11/30/2007,34420,10037
12/31/2007,31607,8988
1/31/2008,33354,9039
2/29/2008,29040,8313
3/31/2008,33970,9250
4/30/2008,35591,8993
5/31/2008,38061,9468
6/30/2008,37696,8846
7/31/2008,40483,9911
8/31/2008,40537,10569
9/30/2008,37440,9421
10/31/2008,37875,9824
11/30/2008,33553,8706
12/31/2008,29406,7607
1/31/2009,30221,8539
2/28/2009,28223,8236
3/31/2009,33678,9856
4/30/2009,32558,9195
5/31/2009,35238,9887
6/30/2009,34260,9574
7/31/2009,35667,9523
8/31/2009,35819,9973
9/30/2009,33863,9566
10/31/2009,33525,9527
11/30/2009,31384,9004
12/31/2009,28183,7872
1/31/2010,29188,9089
2/28/2010,24940,8519
3/31/2010,32330,9579
4/30/2010,31662,8699
5/31/2010,33394,8595
6/30/2010,32704,8046
7/31/2010,33504,8200
8/31/2010,34144,8533
9/30/2010,31881,8698
10/31/2010,32388,8413
11/30/2010,28880,7578
12/31/2010,25233,6479
1/31/2011,27171,7844
2/28/2011,22225,6489
3/31/2011,28685,8404
4/30/2011,29093,7902
5/31/2011,31573,8146
6/30/2011,32300,8555
7/31/2011,33242,8851
8/31/2011,32574,9035
9/30/2011,29918,8277
10/31/2011,30264,7966
11/30/2011,27622,7435
12/31/2011,27011,7283
1/31/2012,26233,7554
2/29/2012,23859,7624
3/31/2012,28549,8401
4/30/2012,27172,7407
5/31/2012,30077,7896
6/30/2012,31066,8036
7/31/2012,31956,8435
8/31/2012,30019,7706
9/30/2012,27740,7273
10/31/2012,27949,7217
11/30/2012,26017,6542
12/31/2012,25198,6458
1/31/2013,25393,7335
2/28/2013,21386,6744
3/31/2013,24936,7700
4/30/2013,25504,7515
5/31/2013,27968,8103
6/30/2013,27345,7419
7/31/2013,28602,7569
8/31/2013,28628,7721
9/30/2013,26310,7071
10/31/2013,25440,6908
11/30/2013,23533,6540
12/31/2013,21830,5812
1/31/2014,19931,5725
2/28/2014,17997,5806
3/31/2014,22145,6805
4/30/2014,22864,6796
5/31/2014,24823,7348
6/30/2014,25381,7105
7/31/2014,26502,7576
8/31/2014,25831,7294
9/30/2014,23842,6726
10/31/2014,23937,6836
11/30/2014,20716,5840
12/31/2014,20932,5459
1/31/2015,20765,6142
2/28/2015,16315,5138
3/31/2015,21607,6580
4/30/2015,21647,5937
5/31/2015,23613,6288
6/30/2015,23104,5985
7/31/2015,24150,6263
8/31/2015,24734,6222
9/30/2015,23038,5889
10/31/2015,23018,5901
11/30/2015,20524,5068
12/31/2015,21075,4298
1/31/2016,20524,4230
2/29/2016,18655,4202
3/31/2016,21956,4892
4/30/2016,21048,4925
5/31/2016,23451,5149
6/30/2016,23951,4929
7/31/2016,24768,4587
8/31/2016,24812,4148
9/30/2016,23580,4172
10/31/2016,23649,4056
11/30/2016,21656,3756
12/31/2016,20275,3532
1/31/2017,21885,4231
2/28/2017,19169,4040
3/31/2017,20427,4345
4/30/2017,21531,4489
5/31/2017,23229,4823
6/30/2017,23660,4522
7/31/2017,24686,4720
8/31/2017,24545,4590
9/30/2017,22621,4274
10/31/2017,22609,3977
11/30/2017,21152,3826
12/31/2017,20629,3522
1/31/2018,19395,3657
2/28/2018,2713,519
